94	30	0.0814
84	6	0.7893
89	1	0.3521
54	20	0.4213
9	83	0.9027
25	88	0.7444
98	5	0.7793
99	97	0.5604
94	50	0.1551
67	67	0.5935
19	32	0.4342
18	65	0.6292
52	91	0.3632
72	8	0.672
62	47	0.7688
39	24	0.1003
40	64	0.3735
49	58	0.8942
14	57	0.146
56	98	0.7963
71	63	0.2448
99	82	0.2585
79	97	0.3286
60	63	0.8894
88	41	0.0645
13	39	0.4804
82	13	0.3055
31	59	0.0272
54	77	0.5788
45	49	0.5517
54	94	0.0558
3	22	0.4864
70	0	0.7722
80	17	0.8825
98	42	0.2595
89	26	0.064
50	13	0.0439
73	29	0.3707
57	41	0.8982
84	47	0.9677
74	46	0.6834
82	63	0.2487
63	28	0.9978
78	4	0.9055
0	76	0.578
38	60	0.6538
53	79	0.1299
88	15	0.3502
15	54	0.333
46	94	0.7743
22	93	0.9001
70	38	0.4269
2	13	0.6473
29	84	0.6253
35	99	0.647
3	49	0.8361
33	25	0.0469
13	99	0.3957
97	34	0.2252
18	79	0.053
80	61	0.3646
3	13	0.1167
32	24	0.1683
25	32	0.5046
74	98	0.9979
86	50	0.5783
80	15	0.9369
3	77	0.7421
59	65	0.8793
28	13	0.5915
35	30	0.5384
40	38	0.057
9	45	0.0021
15	85	0.6709
75	69	0.131
41	25	0.9091
36	82	0.7787
81	37	0.7936
97	39	0.554
40	91	0.1575
97	41	0.4014
84	28	0.9888
26	52	0.1066
72	81	0.9884
88	84	0.206
22	6	0.5655
35	58	0.1344
77	41	0.2174
78	8	0.1623
31	33	0.306
79	31	0.8514
42	40	0.9372
13	95	0.0876
58	82	0.5274
30	71	0.3078
81	93	0.1029
90	33	0.811
9	47	0.3352
70	8	0.0086
36	24	0.1651
44	34	0.5423
53	58	0.8736
43	54	0.0702
56	27	0.0501
8	82	0.8867
49	69	0.8155
86	1	0.4306
20	56	0.4232
88	44	0.4427
94	48	0.4451
25	31	0.5869
44	94	0.6856
61	54	0.3479
3	83	0.1412
13	31	0.0559
37	67	0.0955
24	87	0.2952
82	83	0.2715
37	57	0.7023
85	0	0.5828
69	51	0.7805
9	71	0.3366
24	18	0.5223
68	17	0.4644
7	17	0.1172
28	48	0.2917
39	64	0.5063
6	47	0.5677
10	21	0.4674
38	90	0.7087
11	68	0.9635
51	37	0.883
70	84	0.7279
12	73	0.0028
31	30	0.8051
47	89	0.8859
72	97	0.3556
73	88	0.6975
83	26	0.827
61	38	0.9815
4	66	0.9827
87	38	0.8223
6	83	0.6753
97	40	0.4718
14	5	0.2463
49	31	0.3715
57	89	0.646
52	49	0.1891
67	65	0.9216
50	64	0.8003
43	45	0.5159
76	8	0.221
34	5	0.5523
57	85	0.1064
21	9	0.2138
70	60	0.6461
42	42	0.8664
76	73	0.6275
64	44	0.4907
6	86	0.5499
31	47	0.2704
18	0	0.7205
80	3	0.8942
79	90	0.7583
95	32	0.9538
9	25	0.1805
98	5	0.4896
22	24	0.0679
